6 - 265.0MVA, Nodes: 2 - 144 Cost:30.774449487295072 Built:1.0
258 - 265.0MVA, Nodes: 9 - 38 Cost:42.72959261561399 Built:1.0
160 - 265.0MVA, Nodes: 7 - 38 Cost:30.776961365850788 Built:1.0
5023 - 504.0MVA, Nodes: 144 - 1 Cost:71.6561732098734 Built:1.0
218 - 265.0MVA, Nodes: 8 - 38 Cost:35.367765356152184 Built:1.0
4913 - 1526.0MVA, Nodes: 103 - 1 Cost:230.69143250857547 Built:1.0
85 - 265.0MVA, Nodes: 5 - 103 Cost:33.95595675521586 Built:1.0
142 - 265.0MVA, Nodes: 6 - 103 Cost:39.85370039930685 Built:1.0
28 - 265.0MVA, Nodes: 4 - 103 Cost:32.311999039152724 Built:1.0
1292 - 759.0MVA, Nodes: 38 - 103 Cost:41.9291166673641 Built:1.0
26 - 265.0MVA, Nodes: 3 - 144 Cost:38.05824878899956 Built:1.0

